,省份,城市,注册资本,公司名称,公司简称,邮箱列表,电话列表,标签
6182,河北省,唐山市,300万人民币,<em>河北</em>唐鞍新能源科技有限公司,唐鞍,7801552059@qq.com,"['15303259090', '13933396993']",河北省古冶区高考
6193,河北省,唐山市,其他股份有限公司分公司(非上市),<em>河北滦南</em>农村商业银行股份有限公司城区支行,支行,598028361@qq.com,['0315-4120544'],河北省滦南县中考志愿
6193,河北省,唐山市,其他股份有限公司分公司(非上市),<em>河北滦南</em>农村商业银行股份有限公司城区支行,支行,liubing8822@163.com,['0315-4120544'],河北省滦南县中考志愿
6194,河北省,唐山市,2000万人民币,<em>河北</em>泰普纺织有限公司,泰普纺织,zafs001@163.com,['15303248381'],河北省滦南县中考志愿
6201,河北省,唐山市,300万人民币,<em>河北</em>高康医疗器械有限公司,高康,15538030@qq.com,['15630500005'],河北省滦南县中考志愿
6208,河北省,唐山市,50万人民币,<em>河北省滦南县</em>供销合作社盐业公司,供销合作,tslnyygs@163.com,"['0315-4169145', '0316-4169145']",河北省滦南县高考
6209,河北省,唐山市,16319.27万美元,玖龙纸业（<em>河北</em>）有限公司,玖龙纸业,lik5@ndpaper.com,"['0315-7721888', '0315-5708102', '0315-5708150', '15233157077']",河北省滦南县高考
6209,河北省,唐山市,16319.27万美元,玖龙纸业（<em>河北</em>）有限公司,玖龙纸业,w2h00b6@163.com,"['0315-7721888', '0315-5708102', '0315-5708150', '15233157077']",河北省滦南县高考
6209,河北省,唐山市,16319.27万美元,玖龙纸业（<em>河北</em>）有限公司,玖龙纸业,wenzuozhi@163.com,"['0315-7721888', '0315-5708102', '0315-5708150', '15233157077']",河北省滦南县高考
6213,河北省,唐山市,170万人民币,<em>河北省滦南县</em>长宁供销合作社,长宁,luannannonghelian@126.com,"['0315-4129592', '13582885334', '13933398188', '13473599272']",河北省滦南县高考
6215,河北省,唐山市,全民所有制分支机构(非法人),<em>河北省</em>烟草公司唐山市公司<em>滦南县</em>卷烟营销部,烟草公司,lnxyczmj@126.com,['0315-5698706'],河北省滦南县高考
6215,河北省,唐山市,全民所有制分支机构(非法人),<em>河北省</em>烟草公司唐山市公司<em>滦南县</em>卷烟营销部,烟草公司,lnxyczmg@126.com,['0315-5698706'],河北省滦南县高考
6215,河北省,唐山市,全民所有制分支机构(非法人),<em>河北省</em>烟草公司唐山市公司<em>滦南县</em>卷烟营销部,烟草公司,luannanyancao@126.com,['0315-5698706'],河北省滦南县高考
6216,河北省,唐山市,有限责任公司分公司（非自然人投资或控股的法人独资）,<em>河北省</em>禄发实业集团有限公司<em>滦南</em>服务区,禄发,dongbin_zte@163.com,"['15511512782', '13315512282', '13931434063']",河北省滦南县高考
6216,河北省,唐山市,有限责任公司分公司（非自然人投资或控股的法人独资）,<em>河北省</em>禄发实业集团有限公司<em>滦南</em>服务区,禄发,13315512282@163.com,"['15511512782', '13315512282', '13931434063']",河北省滦南县高考
6216,河北省,唐山市,有限责任公司分公司（非自然人投资或控股的法人独资）,<em>河北省</em>禄发实业集团有限公司<em>滦南</em>服务区,禄发,l13931434063@163.com,"['15511512782', '13315512282', '13931434063']",河北省滦南县高考
6217,河北省,唐山市,100万人民币,<em>河北省滦南县</em>城关供销合作社,供销合作,luannannonghelian@126.com,"['0315-4129592', '15033967838', '0315-4122252']",河北省滦南县高考
6218,河北省,唐山市,500万人民币,<em>河北省滦南县</em>关爱退役军人基金会,关爱,lnxgatyjrjjh@163.com,"['13730514499', '15383952299']",河北省滦南县高考
6219,河北省,唐山市,62万人民币,<em>河北省滦南县</em>杨岭供销合作社,杨岭,luannannonghelian@126.com,"['0315-4129592', '15100579918', '13315538086']",河北省滦南县高考
6223,河北省,唐山市,500万人民币,<em>河北省</em>唐山市<em>滦南县</em>社会救助基金会,社会救助,lnxshjzk@163.com,"['0315-4129364', '13803307985']",河北省滦南县高考
6224,河北省,唐山市,1000万人民币,<em>滦南县</em>供销合作总社,供销合作,luannannonghelian@126.com,['0315-4129592'],河北省滦南县高考
6224,河北省,唐山市,1000万人民币,<em>滦南县</em>供销合作总社,供销合作,luannannonghlian@126.com,['0315-4129592'],河北省滦南县高考
6226,河北省,唐山市,股份有限公司,中国人民财产保险股份有限公司<em>河北省曹妃甸</em>分公司,人民,zhengbin12@heb.picc.com.cn,"['0315-8823512', '0315-2344006']",河北省曹妃甸区中考志愿
6226,河北省,唐山市,股份有限公司,中国人民财产保险股份有限公司<em>河北省曹妃甸</em>分公司,人民,wushuli01@heb.picc.com.cn,"['0315-8823512', '0315-2344006']",河北省曹妃甸区中考志愿
6226,河北省,唐山市,股份有限公司,中国人民财产保险股份有限公司<em>河北省曹妃甸</em>分公司,人民,liwenling@heb.picc.com.cn,"['0315-8823512', '0315-2344006']",河北省曹妃甸区中考志愿
6226,河北省,唐山市,股份有限公司,中国人民财产保险股份有限公司<em>河北省曹妃甸</em>分公司,人民,ts-rbcxbgs@heb.picc.com.cn,"['0315-8823512', '0315-2344006']",河北省曹妃甸区中考志愿
6228,河北省,唐山市,外商投资企业分公司,中国石化销售股份有限公司<em>河北</em>唐山<em>曹妃甸</em>石油分公司,石化销售,981217793@qq.com,"['15830583098', '18031512266', '0315-8715920', '0315-8715961']",河北省曹妃甸区中考志愿
6228,河北省,唐山市,外商投资企业分公司,中国石化销售股份有限公司<em>河北</em>唐山<em>曹妃甸</em>石油分公司,石化销售,1271979312@qq.com,"['15830583098', '18031512266', '0315-8715920', '0315-8715961']",河北省曹妃甸区中考志愿
6229,河北省,唐山市,11400万人民币,<em>曹妃甸</em>佳昕融资担保有限公司,曹妃甸佳,cfdjxdb@163.com,"['0315-7872244', '0315-7872027', '0315-8855345', '0315-8855555']",河北省曹妃甸区中考志愿
6229,河北省,唐山市,11400万人民币,<em>曹妃甸</em>佳昕融资担保有限公司,曹妃甸佳,cfddb-wang@163.com,"['0315-7872244', '0315-7872027', '0315-8855345', '0315-8855555']",河北省曹妃甸区中考志愿
6229,河北省,唐山市,11400万人民币,<em>曹妃甸</em>佳昕融资担保有限公司,曹妃甸佳,cfddb_wang@163.com,"['0315-7872244', '0315-7872027', '0315-8855345', '0315-8855555']",河北省曹妃甸区中考志愿
6229,河北省,唐山市,11400万人民币,<em>曹妃甸</em>佳昕融资担保有限公司,曹妃甸佳,cfdkgrzb@163.com,"['0315-7872244', '0315-7872027', '0315-8855345', '0315-8855555']",河北省曹妃甸区中考志愿
6229,河北省,唐山市,11400万人民币,<em>曹妃甸</em>佳昕融资担保有限公司,曹妃甸佳,cfddb_tao@163.com,"['0315-7872244', '0315-7872027', '0315-8855345', '0315-8855555']",河北省曹妃甸区中考志愿
6231,河北省,唐山市,股份有限公司分公司(非上市、国有控股),中国广电<em>河北</em>网络股份有限公司<em>曹妃甸区</em>分公司,广电河北,madongth@163.com,"['0315-8715758', '0315-8752036', '0315-8711722']",河北省曹妃甸区中考志愿
6231,河北省,唐山市,股份有限公司分公司(非上市、国有控股),中国广电<em>河北</em>网络股份有限公司<em>曹妃甸区</em>分公司,广电河北,madontth@163.com,"['0315-8715758', '0315-8752036', '0315-8711722']",河北省曹妃甸区中考志愿
6231,河北省,唐山市,股份有限公司分公司(非上市、国有控股),中国广电<em>河北</em>网络股份有限公司<em>曹妃甸区</em>分公司,广电河北,cfdwlzsy@163.com,"['0315-8715758', '0315-8752036', '0315-8711722']",河北省曹妃甸区中考志愿
6231,河北省,唐山市,股份有限公司分公司(非上市、国有控股),中国广电<em>河北</em>网络股份有限公司<em>曹妃甸区</em>分公司,广电河北,thxwgj@163.com,"['0315-8715758', '0315-8752036', '0315-8711722']",河北省曹妃甸区中考志愿
6237,河北省,唐山市,10000万人民币,唐山<em>曹妃甸区</em>港澳物产有限公司,港澳物产,cfdgawc@163.com,"['0315-8859100', '0315-8859551', '0315-8857752', '0315-8077558']",河北省曹妃甸区中考志愿
6237,河北省,唐山市,10000万人民币,唐山<em>曹妃甸区</em>港澳物产有限公司,港澳物产,cfdgswl@163.com,"['0315-8859100', '0315-8859551', '0315-8857752', '0315-8077558']",河北省曹妃甸区中考志愿
6237,河北省,唐山市,10000万人民币,唐山<em>曹妃甸区</em>港澳物产有限公司,港澳物产,bsjckjt@163.com,"['0315-8859100', '0315-8859551', '0315-8857752', '0315-8077558']",河北省曹妃甸区中考志愿
6237,河北省,唐山市,10000万人民币,唐山<em>曹妃甸区</em>港澳物产有限公司,港澳物产,cfdjkqgb@163.com,"['0315-8859100', '0315-8859551', '0315-8857752', '0315-8077558']",河北省曹妃甸区中考志愿
6238,河北省,唐山市,10000万人民币,唐山<em>曹妃甸区</em>拓霖贸易有限公司,拓霖贸易,cfdhqmy@163.com,"['0315-8859852', '0315-8753900']",河北省曹妃甸区中考志愿
6239,河北省,唐山市,有限责任公司分公司(自然人投资或控股),<em>河北</em>泰美国际酒店管理集团有限公司唐山<em>曹妃甸区</em>分公司,泰美国际,369745917@qq.com,['0315-6738944'],河北省曹妃甸区中考志愿
6239,河北省,唐山市,有限责任公司分公司(自然人投资或控股),<em>河北</em>泰美国际酒店管理集团有限公司唐山<em>曹妃甸区</em>分公司,泰美国际,594500090@qq.com,['0315-6738944'],河北省曹妃甸区中考志愿
6239,河北省,唐山市,有限责任公司分公司(自然人投资或控股),<em>河北</em>泰美国际酒店管理集团有限公司唐山<em>曹妃甸区</em>分公司,泰美国际,994624583@qq.com,['0315-6738944'],河北省曹妃甸区中考志愿
6242,河北省,唐山市,100000万人民币,唐山<em>曹妃甸区</em>国华住房租赁有限公司,国华住房,ghzy2019@126.com,"['0315-8820665', '0315-8820445']",河北省曹妃甸区中考志愿
6242,河北省,唐山市,100000万人民币,唐山<em>曹妃甸区</em>国华住房租赁有限公司,国华住房,tscfdgh@163.com,"['0315-8820665', '0315-8820445']",河北省曹妃甸区中考志愿
6249,河北省,唐山市,2050万人民币,<em>河北省乐亭县</em>宏达建筑安装工程有限公司,宏达,905095135@qq.com,"['15032590028', '0315-4619888', '13463509969', '0315-4961111']",河北省乐亭县中考志愿
6249,河北省,唐山市,2050万人民币,<em>河北省乐亭县</em>宏达建筑安装工程有限公司,宏达,827234632@qq.com,"['15032590028', '0315-4619888', '13463509969', '0315-4961111']",河北省乐亭县中考志愿
6250,河北省,唐山市,18810万人民币,<em>河北</em>明盛实业集团有限公司,明盛,hbmsjt@163.com,"['0315-4885898', '0315-4885800']",河北省乐亭县中考志愿
6271,河北省,张家口市,4038万人民币,<em>河北省</em>烟草公司<em>张家口市</em>公司,烟草公司,18632381109@163.com,"['0313-4039098', '0313-4039079']",河北省张家口市中考志愿
6274,河北省,张家口市,1000万人民币,<em>张家口市</em>新华书店有限责任公司,新华书店,xhsd-6138866@163.com,"['0313-8086886', '0313-8086885']",河北省张家口市中考志愿
6276,河北省,张家口市,1003.68万人民币,<em>张家口市</em>京北混凝土制造有限公司,京北,zjkjbhnt@163.com,"['0313-4560349', '0313-4560352']",河北省张家口市中考志愿
6276,河北省,张家口市,1003.68万人民币,<em>张家口市</em>京北混凝土制造有限公司,京北,420722738@qq.com,"['0313-4560349', '0313-4560352']",河北省张家口市中考志愿
6280,河北省,张家口市,2540万人民币,<em>河北省张家口市</em>尚义煤矿,尚义煤矿,symkkb@163.com,"['15028516889', '13784553800', '0313-4368006', '0313-4368001', '0313-4368010']",河北省张家口市中考志愿
6282,河北省,张家口市,339万人民币,<em>河北省张家口市</em>燃料总公司,燃料,850614884@qq.com,['0313-7972015'],河北省张家口市中考志愿
6286,河北省,张家口市,500万人民币,<em>张家口市</em>盛隆外贸冷冻食品仓储有限责任公司,盛隆外贸,zjkwm@163.com,['0313-2175707'],河北省张家口市中考志愿
6286,河北省,张家口市,500万人民币,<em>张家口市</em>盛隆外贸冷冻食品仓储有限责任公司,盛隆外贸,zjkslwm@163.com,['0313-2175707'],河北省张家口市中考志愿
6310,河北省,张家口市,100万人民币,<em>张家口</em>讯通网络科技有限公司,讯通,924264413@qq.com,"['15075385000', '13131396778', '13932308443']",河北省张家口市志愿
6312,河北省,张家口市,15万人民币,<em>张家口</em>本一教育科技有限责任公司,本一教育,250507891@qq.com,['13303331374'],河北省张家口市高考
6317,河北省,保定市,其他有限责任公司分公司,中建交通建设集团有限公司<em>河北</em>雄安分公司,交通建设,fhh5288@126.com,"['18020072929', '18032110211']",河北省保定市中考志愿填报
6323,河北省,保定市,有限责任公司分公司（非自然人投资或控股的法人独资）,山东特检方圆检测有限公司<em>河北</em>雄安分公司,特检方圆,wangqian@sdfyjc.net,['13853168896'],河北省保定市中考志愿填报
6337,河北省,保定市,有限责任公司分公司（非自然人投资或控股的法人独资）,中国联通集团<em>河北省</em>通信有限公司<em>保定市</em>分公司,中国联通,yuhj59@chinaunicom.cn,"['0312-3288415', '15632280120', '0312-3288443']",河北省保定市中考志愿
6378,河北省,保定市,60500万人民币,<em>保定</em>碧城房地产开发有限公司,碧城,15127518112@163.com,"['0312-5906888', '18931263629', '15933645678', '18632335825', '18931698661']",河北省保定市中考
6378,河北省,保定市,60500万人民币,<em>保定</em>碧城房地产开发有限公司,碧城,573653835@qq.com,"['0312-5906888', '18931263629', '15933645678', '18632335825', '18931698661']",河北省保定市中考
6379,河北省,保定市,70万人民币,<em>保定市</em>莲池区学大教育培训学校有限公司,学大教育,songysjz@xueda.com,['0312-5901315'],河北省保定市高考
6380,河北省,保定市,10万人民币,<em>保定</em>河大国际教育服务有限公司,河大国际,480900872@qq.com,['0312-5053185'],河北省保定市高考
6380,河北省,保定市,10万人民币,<em>保定</em>河大国际教育服务有限公司,河大国际,20427051@qq.com,['0312-5053185'],河北省保定市高考
6380,河北省,保定市,10万人民币,<em>保定</em>河大国际教育服务有限公司,河大国际,hbuiesc01@gmail.com,['0312-5053185'],河北省保定市高考
6380,河北省,保定市,10万人民币,<em>保定</em>河大国际教育服务有限公司,河大国际,hbuiesc01@gmail.cn,['0312-5053185'],河北省保定市高考
6380,河北省,保定市,10万人民币,<em>保定</em>河大国际教育服务有限公司,河大国际,hbuiesc@gamil.com,['0312-5053185'],河北省保定市高考
6380,河北省,保定市,10万人民币,<em>保定</em>河大国际教育服务有限公司,河大国际,hbuiesc01@gamil.com,['0312-5053185'],河北省保定市高考
6381,河北省,保定市,30万人民币,<em>保定市</em>莲池区尚途教育培训学校有限公司,尚途教育,2108319391@qq.com,['15631270717'],河北省保定市高考
6382,河北省,保定市,20万人民币,<em>保定市</em>莲池区赫达教育培训学校有限公司,赫达教育,lxy@hbu.cn,"['18903325919', '0312-5079789', '0312-6793961', '0312-5958960', '13933893996']",河北省保定市高考
6382,河北省,保定市,20万人民币,<em>保定市</em>莲池区赫达教育培训学校有限公司,赫达教育,hbulxy@vip.qq.com,"['18903325919', '0312-5079789', '0312-6793961', '0312-5958960', '13933893996']",河北省保定市高考
6383,河北省,保定市,20万人民币,<em>保定市</em>莲池区炫木艺术培训学校有限公司,炫木艺术,wlinany@163.com,"['18630270560', '18131234994']",河北省保定市高考
6384,河北省,保定市,有限责任公司分公司(自然人投资或控股),<em>河北</em>北方教育科技有限公司涿州分公司,北方教育,468272734@qq.com,['19930489990'],河北省保定市高考
6390,河北省,石家庄市,450万人民币,<em>石家庄市</em>知行文明实践基金会,知行文明,sjzszyfwjjh@126.com,"['0311-87851381', '0311-87851271', '0311-87851066']",河北省石家庄市志愿
6403,河北省,石家庄市,50万人民币,<em>石家庄</em>恒实教育咨询有限公司,恒实教育,1162559503@qq.com,['13933172845'],河北省石家庄市高考
6403,河北省,石家庄市,50万人民币,<em>石家庄</em>恒实教育咨询有限公司,恒实教育,517252064@qq.com,['13933172845'],河北省石家庄市高考
6420,河北省,邯郸市,200万人民币,<em>邯郸市</em>宜景建筑装饰装修工程有限公司,宜景建筑,372414899@qq.com,['18303092070'],河北省邯郸市中考志愿填报
6428,河北省,邯郸市,10万人民币,好<em>志愿</em>教育咨询服务（<em>邯郸</em>开发区）有限责任公司,好志愿,1013943033@qq.com,['13231082000'],河北省邯郸市志愿填报
6432,河北省,邯郸市,20000万人民币,<em>河北</em>华增达国际物流有限公司,华增达,1368777255@qq.com,"['0310-5898985', '13731018738']",河北省邯郸市中考志愿
6432,河北省,邯郸市,20000万人民币,<em>河北</em>华增达国际物流有限公司,华增达,goldencityusa@163.com,"['0310-5898985', '13731018738']",河北省邯郸市中考志愿
6436,河北省,邯郸市,500万人民币,<em>河北</em>金叶网络科技有限公司,金叶,hdjinye2003@aliyun.com,['0310-3034555'],河北省邯郸市中考志愿
6436,河北省,邯郸市,500万人民币,<em>河北</em>金叶网络科技有限公司,金叶,hdjinye@aliyun.com,['0310-3034555'],河北省邯郸市中考志愿
6481,河北省,邢台市,1500万人民币,<em>河北邢台</em>国家粮食储备库有限公司,国家粮食,hbxtlkbgs@163.com,"['0319-6898058', '0319-2166016']",河北省邢台市中考志愿
6481,河北省,邢台市,1500万人民币,<em>河北邢台</em>国家粮食储备库有限公司,国家粮食,xtdk@hbxtlk.com,"['0319-6898058', '0319-2166016']",河北省邢台市中考志愿
6481,河北省,邢台市,1500万人民币,<em>河北邢台</em>国家粮食储备库有限公司,国家粮食,hbxtdk@hbxtlk.com,"['0319-6898058', '0319-2166016']",河北省邢台市中考志愿
6485,河北省,邢台市,有限责任公司分公司(自然人投资或控股的法人独资),中国联通集团<em>河北省</em>通信有限公司<em>邢台市</em>分公司,中国联通,xtltbgs@126.com,['0319-2024040'],河北省邢台市中考志愿
6485,河北省,邢台市,有限责任公司分公司(自然人投资或控股的法人独资),中国联通集团<em>河北省</em>通信有限公司<em>邢台市</em>分公司,中国联通,xulf17@chinaunicom.cn,['0319-2024040'],河北省邢台市中考志愿
6485,河北省,邢台市,有限责任公司分公司(自然人投资或控股的法人独资),中国联通集团<em>河北省</em>通信有限公司<em>邢台市</em>分公司,中国联通,guolx12@chinaunicom.cn,['0319-2024040'],河北省邢台市中考志愿
6492,河北省,邢台市,有限责任公司分公司(国有独资),中国邮政集团有限公司<em>邢台市</em>分公司,中国邮政,xtyzxx@sina.com,"['0319-2688621', '0319-2688656']",河北省邢台市中考志愿
6495,河北省,邢台市,1600万人民币,<em>邢台</em>砂轮有限责任公司,砂轮,1094836996@qq.com,"['15512807525', '0319-3036556']",河北省邢台市中考志愿
6536,河北省,衡水市,25.49万人民币,<em>衡水</em>玉苑房地产经纪有限公司,玉苑,1922796804@qq.com,"['15512669993', '18632848881']",河北省衡水市中考志愿填报
6544,河北省,衡水市,200万人民币,<em>河北衡水</em>中学教育发展基金会,中学教育,1124545968@qq.com,"['15833280448', '0318-2693012', '0318-6830312', '18632862690', '0318-6830081']",河北省衡水市中考志愿
6545,河北省,衡水市,有限责任公司分公司(自然人投资或控股),中国联通集团<em>河北省</em>通信有限公司<em>衡水市</em>分公司,中国联通,liuzf26@chinaunicom.cn,"['0318-2025419', '0318-2051977']",河北省衡水市中考志愿
6545,河北省,衡水市,有限责任公司分公司(自然人投资或控股),中国联通集团<em>河北省</em>通信有限公司<em>衡水市</em>分公司,中国联通,liuzf26@chiniunicom.cn,"['0318-2025419', '0318-2051977']",河北省衡水市中考志愿
6546,河北省,衡水市,5000万人民币,<em>河北</em>夏洛特建材有限公司,夏洛特,1229192705@qq.com,"['18031189586', '15130839073', '0318-3766590', '15354186992', '18031108101']",河北省衡水市中考志愿
6551,河北省,衡水市,1000万人民币,<em>衡水</em>和鸣省储粮油库有限责任公司,和鸣省,hm6165@126.com,"['0318-5266165', '0318-5266168']",河北省衡水市中考志愿
6551,河北省,衡水市,1000万人民币,<em>衡水</em>和鸣省储粮油库有限责任公司,和鸣省,422981777@qq.com,"['0318-5266165', '0318-5266168']",河北省衡水市中考志愿
6551,河北省,衡水市,1000万人民币,<em>衡水</em>和鸣省储粮油库有限责任公司,和鸣省,648957500@qq.com,"['0318-5266165', '0318-5266168']",河北省衡水市中考志愿
6554,河北省,衡水市,500万人民币,<em>河北</em>东易环保设备有限公司,东易环保,15132807001@163.com,['15132807001'],河北省衡水市中考志愿
6557,河北省,衡水市,300万人民币,<em>河北</em>科准医疗器械有限公司,科准,15297601566@163.com,"['15297601566', '18632821767', '15324185550', '17633183517']",河北省衡水市中考志愿
6557,河北省,衡水市,300万人民币,<em>河北</em>科准医疗器械有限公司,科准,15324185550@163.com,"['15297601566', '18632821767', '15324185550', '17633183517']",河北省衡水市中考志愿
6557,河北省,衡水市,300万人民币,<em>河北</em>科准医疗器械有限公司,科准,879949928@qq.com,"['15297601566', '18632821767', '15324185550', '17633183517']",河北省衡水市中考志愿
6576,河北省,衡水市,10万人民币,景县金榜志愿教育信息咨询有限公司,金榜志愿,309927515@qq.com,['13165552358'],河北省衡水市高考
6595,河北省,沧州市,200万人民币,<em>河北省沧州市</em>第一中学教育基金会,第一中学,325770110@qq.com,"['0317-2130707', '18633721228', '15831781721']",河北省沧州市中考志愿
6597,河北省,沧州市,有限责任公司分公司(国有控股),中国联通集团<em>河北省</em>通信有限公司<em>沧州市</em>分公司,中国联通,yuc15@chinaunicom.cn,"['0317-3560886', '0317-3560030']",河北省沧州市中考志愿
6632,河北省,沧州市,20万人民币,泊头市清北教育咨询有限公司,清北教育,51205639@qq.com,['15133703812'],河北省沧州市高考
6634,河北省,廊坊市,50万人民币,<em>廊坊</em>隆博家具有限公司,隆博家具,2791433600@qq.com,"['15081670555', '18031676083']",河北省廊坊市中考志愿填报
6638,河北省,廊坊市,有限责任公司分公司(自然人投资或控股),中国联通集团<em>河北省</em>通信有限公司<em>廊坊市</em>分公司,中国联通,lianfb1@chinaunicom.cn,"['0316-2980256', '0316-2980181', '15531610567']",河北省廊坊市中考志愿
6638,河北省,廊坊市,有限责任公司分公司(自然人投资或控股),中国联通集团<em>河北省</em>通信有限公司<em>廊坊市</em>分公司,中国联通,haoxp10@chinaunicom.cn,"['0316-2980256', '0316-2980181', '15531610567']",河北省廊坊市中考志愿
6638,河北省,廊坊市,有限责任公司分公司(自然人投资或控股),中国联通集团<em>河北省</em>通信有限公司<em>廊坊市</em>分公司,中国联通,hanning6@chinaunicom.cn,"['0316-2980256', '0316-2980181', '15531610567']",河北省廊坊市中考志愿
6639,河北省,廊坊市,20100万人民币,<em>河北</em>迎春酒集团有限公司,迎春酒,haoyukgm@163.com,"['0316-2654041', '0316-5908369']",河北省廊坊市中考志愿
6645,河北省,廊坊市,4000万人民币,<em>河北</em>广祥建设工程有限公司,广祥,baichuandsh@163.com,"['0316-2779788', '6682666-8062']",河北省廊坊市中考志愿
6645,河北省,廊坊市,4000万人民币,<em>河北</em>广祥建设工程有限公司,广祥,374519824@qq.com,"['0316-2779788', '6682666-8062']",河北省廊坊市中考志愿
6645,河北省,廊坊市,4000万人民币,<em>河北</em>广祥建设工程有限公司,广祥,928185551@qq.com,"['0316-2779788', '6682666-8062']",河北省廊坊市中考志愿
6651,河北省,廊坊市,23万人民币,<em>廊坊市</em>广告公司,广告公司,15100647719@qq.com,"['15100647719', '13273645930']",河北省廊坊市中考志愿
6652,河北省,廊坊市,200万人民币,<em>廊坊市</em>万业网络科技有限公司,万业,929894445@qq.com,['18333759555'],河北省廊坊市中考志愿
6652,河北省,廊坊市,200万人民币,<em>廊坊市</em>万业网络科技有限公司,万业,1749339827@qq.com,['18333759555'],河北省廊坊市中考志愿
6653,河北省,廊坊市,1000万人民币,绮一舟（<em>河北</em>）科技有限公司,绮一舟,liwenjun@favor100.com,['0316-2882999'],河北省廊坊市中考志愿
6653,河北省,廊坊市,1000万人民币,绮一舟（<em>河北</em>）科技有限公司,绮一舟,daisy.zhang@duca-coatings.com,['0316-2882999'],河北省廊坊市中考志愿
6653,河北省,廊坊市,1000万人民币,绮一舟（<em>河北</em>）科技有限公司,绮一舟,huili@duca-coatings.com,['0316-2882999'],河北省廊坊市中考志愿
6653,河北省,廊坊市,1000万人民币,绮一舟（<em>河北</em>）科技有限公司,绮一舟,dan.li@duca-coatings.com,['0316-2882999'],河北省廊坊市中考志愿
6654,河北省,廊坊市,1000万人民币,<em>河北</em>朗赫装饰工程有限公司,朗赫装饰,358375976@qq.com,['13833639986'],河北省廊坊市中考志愿
6681,河北省,廊坊市,有限责任公司分公司(自然人独资),<em>河北</em>宏昇教育咨询有限公司霸州分公司,宏昇教育,9618758@qq.com,['15133609007'],河北省廊坊市高考
6682,河北省,廊坊市,35万人民币,<em>廊坊</em>开发区慧诚教育培训学校有限公司,慧诚教育,xdlxb@126.com,['18033621122'],河北省廊坊市高考
6683,河北省,廊坊市,10万人民币,大厂回族自治县睿图教育咨询有限公司,睿图教育,3124353886@qq.com,['13273629131'],河北省廊坊市高考
6684,河北省,廊坊市,30万人民币,霸州市育德教育咨询有限公司,育德教育,136345326@qq.com,"['19930233250', '15832646182']",河北省廊坊市高考
6685,河北省,廊坊市,30万人民币,霸州市泽仁教育咨询有限公司,泽仁教育,977929603@qq.com,['18633609529'],河北省廊坊市高考
6686,河北省,廊坊市,10万人民币,大厂回族自治县艺博教育咨询有限公司,艺博教育,13082092086@163.com,"['13082092086', '18232471133']",河北省廊坊市高考
6686,河北省,廊坊市,10万人民币,大厂回族自治县艺博教育咨询有限公司,艺博教育,18232471133@163.com,"['13082092086', '18232471133']",河北省廊坊市高考
6687,河北省,廊坊市,100万人民币,大城县龙悦教育咨询有限公司,龙悦教育,642637987@qq.com,"['16630419355', '17790086371']",河北省廊坊市高考
6687,河北省,廊坊市,100万人民币,大城县龙悦教育咨询有限公司,龙悦教育,303528276@qq.com,"['16630419355', '17790086371']",河北省廊坊市高考
6688,河北省,廊坊市,30万人民币,大城县弘程培训学校有限公司,弘程培训,672452028@qq.com,"['13171736722', '0316-5522356']",河北省廊坊市高考
6689,河北省,廊坊市,30万人民币,大厂回族自治县泽贤瑞轩教育培训学校有限公司,泽贤瑞轩,yiyaokuaiji@163.com,['18533655377'],河北省廊坊市高考
6697,河北省,承德市,有限责任公司分公司(自然人投资或控股的法人独资),中国联通集团<em>河北省</em>通信有限公司<em>承德市</em>分公司,中国联通,hush28@chinaunicom.cn,"['0314-2061302', '0314-2072378', '0314-2070080']",河北省承德市中考志愿
6704,河北省,承德市,全民所有制分支机构(非法人),<em>河北省</em>烟草公司<em>承德市</em>公司承德县卷烟营销部,烟草公司,cdxban@163.com,"['0314-3016152', '13932451777']",河北省承德市中考志愿
6718,河北省,承德市,20万人民币,<em>承德</em>优<em>志愿</em>教育咨询有限公司,优志愿,18632452206@163.com,['18632452206'],河北省承德市高考志愿
6747,河北省,秦皇岛市,1200万人民币,<em>河北省秦皇岛市</em>云冠栲胶有限公司,云冠栲胶,ygkjgs@sohu.com,"['0335-7862463', '13833568959', '15233534718']",河北省秦皇岛市中考志愿
6747,河北省,秦皇岛市,1200万人民币,<em>河北省秦皇岛市</em>云冠栲胶有限公司,云冠栲胶,ygkj@sohu.com,"['0335-7862463', '13833568959', '15233534718']",河北省秦皇岛市中考志愿
6750,河北省,秦皇岛市,1000万人民币,<em>秦皇岛市</em>新华书店有限责任公司,新华书店,qhdsd_office@163.com,['0335-3662805'],河北省秦皇岛市中考志愿
6751,河北省,秦皇岛市,200万人民币,<em>河北省</em>对外服务总公司<em>秦皇岛</em>外企服务中心,对外服务,fescomli@163.com,['0335-3926895'],河北省秦皇岛市中考志愿
6751,河北省,秦皇岛市,200万人民币,<em>河北省</em>对外服务总公司<em>秦皇岛</em>外企服务中心,对外服务,qhdfesco@sina.com,['0335-3926895'],河北省秦皇岛市中考志愿
6755,河北省,秦皇岛市,全民所有制分支机构(非法人),<em>河北省</em>烟草公司<em>秦皇岛市</em>公司昌黎县卷烟营销部,烟草公司,qhdclyc@163.com,['0335-2983971'],河北省秦皇岛市中考志愿
6760,河北省,秦皇岛市,500万人民币,<em>河北省秦皇岛市</em>抚宁区社会救助基金会,社会救助,1021265795@qq.com,['13133511999'],河北省秦皇岛市中考志愿
